name,node_id,osm_node_id,ctrl_type,x_coord,y_coord,is_boundary,activity_type,poi_id,zone_id,notes
,10512,6979463488,,-84.0162822,36.0159488,,,,,
,10513,6986538582,,-83.9711409,35.9875582,,,,,
,10514,6986545186,,-83.9703614,35.9879587,,,,,
,10515,6986545191,,-83.9723641,35.9865752,,,,,
,10516,6986545189,,-83.9721265,35.9866251,,,,,
,10517,6986545185,,-83.9699505,35.9881807,,,,,
,10518,6986545187,,-83.9708030,35.9885074,,,,,
,10519,6986545188,,-83.9714840,35.9880083,,,,,
,10520,6986545190,,-83.9720939,35.9871755,,,,,
,10521,6986545192,,-83.9723815,35.9862278,,,,,
,10522,1255220470,,-83.9429282,35.9923355,,,,,
,10523,12101074896,,-83.9067226,35.9651505,,,,,
,10524,12530284113,,-83.9110982,35.9624980,,,,,
,10525,202841098,,-83.9111129,35.9992684,,,,,
,10526,202968165,,-83.9173352,35.9537131,,,,,
,10527,7043014845,,-84.0278769,35.9220142,,,,,
,10528,7043014872,,-84.0279789,35.9219748,,,,,
,10529,7043014869,,-84.0277003,35.9216860,,,,,
,10530,9084811932,,-84.0956109,35.9204341,,,,,
,10531,9084811931,,-84.0948704,35.9192542,,,,,
,10532,203038634,,-84.0969261,35.9217489,,,,,
,10533,203038642,,-84.0962363,35.9210742,,,,,
,10534,7045516497,,-84.0971348,35.9223672,,,,,
,10535,7550054490,,-84.0947820,35.9192807,,,,,
,10536,7045516507,,-84.0955404,35.9204865,,,,,
,10537,7045549862,,-84.0288860,35.9164824,,,,,
,10538,7045682989,,-83.9467396,35.9396834,,,,,
,10539,7045683053,,-83.9463018,35.9404153,,,,,
,10540,7045682995,,-83.9465537,35.9402877,,,,,
,10541,7045683059,,-83.9464655,35.9402377,,,,,
,10542,7045768982,,-84.0413525,35.9507753,,,,,
,10543,7045753467,,-83.9574997,36.0146513,,,,,
,10544,7045753470,,-83.9578049,36.0148737,,,,,
,10545,7045753468,,-83.9576536,36.0145044,,,,,
,10546,7045753469,,-83.9573045,36.0142553,,,,,
,10547,7045753471,,-83.9578267,36.0146208,,,,,
,10548,7507323903,,-83.9201122,35.9671255,,,,,
,10549,202954698,signal,-83.9190839,35.9678031,,,,,
,10550,7045983851,,-84.0119797,35.9381642,,,,,
,10551,7045983855,,-84.0128995,35.9385262,,,,,
,10552,7707927883,,-83.9194210,35.9671429,,,,,
,10553,7046397242,,-83.7812103,35.9977292,,,,,
,10554,2259901107,,-83.8322373,35.9793532,,,,,
,10555,7046397235,,-83.7809527,35.9979753,,,,,
,10556,638750044,,-84.0730328,35.9234656,,,,,
,10557,6772800289,,-84.0889310,35.9112078,,,,,
,10558,12905851056,,-84.0881447,35.9113718,,,,,
